dataset,subject_id,role,relative_path,file_name,file_size_bytes,sha256,shape,voxel_spacing,affine,orientation,dtype,nan_count,inf_count,all_zero,nonzero_voxel_count,minimum,maximum,mean,label_set,unexpected_labels,valid_label_set,wt_voxel_count,tc_voxel_count,et_voxel_count,voxel_volume_mm3,integrity_status,error
brats2019,BraTS19_2013_0_1,flair,LGG/BraTS19_2013_0_1/BraTS19_2013_0_1_flair.nii,BraTS19_2013_0_1_flair.nii,17856352,3c57b64dec6fab8c3383e0e9043fc60071414fc6f98bd0abbda744c71a5dcc58,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1030357,0.0,2139.0,34.415319556451614,,,,,,,1.0,ok,
brats2019,BraTS19_2013_0_1,seg,LGG/BraTS19_2013_0_1/BraTS19_2013_0_1_seg.nii,BraTS19_2013_0_1_seg.nii,17858592,1c0a091132847ed672fed4ba815cba0f519e19bc670df939f064265972d0179d,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,-0.0,-0.0,-0.0],[-0.0,-1.0,-0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,49924,0.0,4.0,0.012800739247311827,"[0,1,2,4]",[],True,49924,39137,17858,1.0,ok,
brats2019,BraTS19_2013_0_1,t1,LGG/BraTS19_2013_0_1/BraTS19_2013_0_1_t1.nii,BraTS19_2013_0_1_t1.nii,17856352,06704be170263930052c53dba083b68512f9f6ec71809140e7eb78fc2783dcfd,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1306179,0.0,1207.0,42.04036514336918,,,,,,,1.0,ok,
brats2019,BraTS19_2013_0_1,t1ce,LGG/BraTS19_2013_0_1/BraTS19_2013_0_1_t1ce.nii,BraTS19_2013_0_1_t1ce.nii,17856352,9d203aa7d60a3b5b66747e4b190c784ae499f60dfe8004c9957c74d362179aa6,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1306603,0.0,990.0,47.73773913530466,,,,,,,1.0,ok,
brats2019,BraTS19_2013_0_1,t2,LGG/BraTS19_2013_0_1/BraTS19_2013_0_1_t2.nii,BraTS19_2013_0_1_t2.nii,17856352,d088762084c941a7a152a1f6ef71ade0b00de6f7737c3b67dddacddc035fd927,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1306668,0.0,1673.0,62.79283725358423,,,,,,,1.0,ok,
brats2019,BraTS19_2013_10_1,flair,HGG/BraTS19_2013_10_1/BraTS19_2013_10_1_flair.nii,BraTS19_2013_10_1_flair.nii,17856352,2ed69fc71ea10467d2bbd764d16358f07c8895ec33a5200382c971c075973d1e,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1487565,0.0,1273.0,59.87034375,,,,,,,1.0,ok,
brats2019,BraTS19_2013_10_1,seg,HGG/BraTS19_2013_10_1/BraTS19_2013_10_1_seg.nii,BraTS19_2013_10_1_seg.nii,17858592,55dba94e5345d247e6c6426f43f35dadfe8787a52e701f69084abf792440fbc2,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,-0.0,-0.0,-0.0],[-0.0,-1.0,-0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,111724,0.0,4.0,0.029035506272401434,"[0,1,2,4]",[],True,111724,58674,31485,1.0,ok,
brats2019,BraTS19_2013_10_1,t1,HGG/BraTS19_2013_10_1/BraTS19_2013_10_1_t1.nii,BraTS19_2013_10_1_t1.nii,17856352,fe8414b76d16f7a1da2cf0362370c5d3f141fb711fc1d07f36ada5e97d4ac48c,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1488885,0.0,1043.0,63.008829637096774,,,,,,,1.0,ok,
brats2019,BraTS19_2013_10_1,t1ce,HGG/BraTS19_2013_10_1/BraTS19_2013_10_1_t1ce.nii,BraTS19_2013_10_1_t1ce.nii,17856352,67067cd59c87469c2c84be8ec5a20d5c5643d870ee2398feba921e6f24856461,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1488730,0.0,1516.0,82.2327166218638,,,,,,,1.0,ok,
brats2019,BraTS19_2013_10_1,t2,HGG/BraTS19_2013_10_1/BraTS19_2013_10_1_t2.nii,BraTS19_2013_10_1_t2.nii,17856352,b670605f829cd46097fc3bdb3c6fe2df1103ca72c61c21f5aa10f9fb1d9bf073,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1488860,0.0,1584.0,74.67340927419355,,,,,,,1.0,ok,
brats2019,BraTS19_2013_11_1,flair,HGG/BraTS19_2013_11_1/BraTS19_2013_11_1_flair.nii,BraTS19_2013_11_1_flair.nii,17856352,4cdfbfbdb80ce967defb171220af063a0bcc6bbc207e06484742daf49d852195,"[240,240,155]","[1.0,1.0,1.0]","[[-1.0,0.0,0.0,-0.0],[0.0,-1.0,0.0,239.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",LPS,int16,0,0,False,1505384,0.0,497.0,33.19707403673835,,,,,,,1.0,ok,
