relative_path,reacquired_filename,bytes,sha256,geometry,source_placeholder_bytes
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00197-000/BraTS-SSA-00197-000-seg.nii.gz,BraTS-SSA-00197-000-seg.nii.gz,53019,226494b45b2305a42592a970227997c90418a5fdc74eb26d8b59eaf040b7a621,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00197-000/BraTS-SSA-00197-000-t1c.nii.gz,BraTS-SSA-00197-000-t1c.nii.gz,2899589,80cd3e2f48246814c15e3da3079b0feb81d683fa5ef278af5e54aa587d51889c,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00197-000/BraTS-SSA-00197-000-t1n.nii.gz,BraTS-SSA-00197-000-t1n.nii.gz,2892484,2ec48a1f6c1b7d08d3e7e42737b084a3ac8bb7c16f0753b56c464c7389fcad57,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00200-000/BraTS-SSA-00200-000-seg.nii.gz,BraTS-SSA-00200-000-seg.nii.gz,61693,083f258dcddd7ffc334898af3092f895127295143e9fc00296c2febe76f7ade6,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00200-000/BraTS-SSA-00200-000-t1c.nii.gz,BraTS-SSA-00200-000-t1c.nii.gz,2557002,b92e84ac4db15aa7e50676c3fa440ab88ffd66741594c21989ac65dee698962a,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00200-000/BraTS-SSA-00200-000-t1n.nii.gz,BraTS-SSA-00200-000-t1n.nii.gz,2555715,62a46ea6acbefe1492872216e8dd5601e76b3914ac1d70592eb6a9e3ccb92646,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00200-000/BraTS-SSA-00200-000-t2f.nii.gz,BraTS-SSA-00200-000-t2f.nii.gz,2533634,dbb3d68704ef3ac4b100aed2eca6f85fda1809c1409e10c877e1428abbc3c344,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00200-000/BraTS-SSA-00200-000-t2w.nii.gz,BraTS-SSA-00200-000-t2w.nii.gz,2609913,88ed1f3369cf66698a2235be482b494b27bc182c792e6c47362eebc42db7acf7,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/51_OtherNeoplasms/BraTS-SSA-00204-000/BraTS-SSA-00204-000-t2w.nii.gz,BraTS-SSA-00204-000-t2w.nii.gz,2582101,8a79cd86e587c6a62a4f69cae965a6ff4a476697ee92abecfc257d9a0a487a91,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/95_Glioma/BraTS-SSA-00192-000/BraTS-SSA-00192-000-seg.nii.gz,BraTS-SSA-00192-000-seg.nii.gz,55887,8278465365abd83b432401260f0ea4038ee24895d6d78a54dbade64aa9a1e8f2,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/95_Glioma/BraTS-SSA-00192-000/BraTS-SSA-00192-000-t1n.nii.gz,BraTS-SSA-00192-000-t1n.nii.gz,2255918,5c9e96cdf498b1cde052b8b7fa5ba4002a4567ca502a4f92cc88d64a0c742cf1,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/95_Glioma/BraTS-SSA-00192-000/BraTS-SSA-00192-000-t2f.nii.gz,BraTS-SSA-00192-000-t2f.nii.gz,2385434,023975dc45f7119e984fa8a3c35b37d41a256594454ea3cce34dcfb349fdea13,240x240x155,0
PKG - BraTS-Africa/BraTS-Africa/95_Glioma/BraTS-SSA-00192-000/BraTS-SSA-00192-000-t2w.nii.gz,BraTS-SSA-00192-000-t2w.nii.gz,2358130,8aa6978d0106fc03f79e4585e0ef532fe28961cbc1d631d0b448acf85cdebb4a,240x240x155,0
