candidate_id,seed,patient_count,parameter_count,checkpoint_size_bytes,development_gpu_hours,development_peak_allocated_vram_bytes,development_peak_reserved_vram_bytes,macs_per_slice,flops_per_slice,latency_mean_seconds,latency_p50_seconds,latency_p95_seconds,throughput_volumes_per_hour
unet_reference,20260729,74,1942772,23439923,0.33645411237249895,66998784,2321940480,2676326400,5352652800,0.49531563116250105,0.49351302049763035,0.5077846000996942,7268.0928553593885
unet_reference,20260730,74,1942772,23439987,0.3311241918636127,66992640,2305212416,2676326400,5352652800,0.4986329723652562,0.4916872085086652,0.5389142914493277,7219.739165910884
unet_reference,20260731,74,1942772,23439923,0.32827849033555645,66992640,2305212416,2676326400,5352652800,0.49787088122920486,0.4905473125036224,0.5371617812488694,7230.790423235593
bunet,20260729,74,8384660,101003282,0.38138118057888887,245020672,5659803648,10344038400,20688076800,1.2731808164584486,1.2634603749975213,1.317244560749532,2827.5638098396444
bunet,20260730,74,8384660,101003346,0.3815025438772217,242102272,5659803648,10344038400,20688076800,1.2578118339330793,1.2570185215008678,1.2712064813480537,2862.1133168568476
bunet,20260731,74,8384660,101003282,0.39972727278944353,242102272,5659803648,10344038400,20688076800,1.2554897369999387,1.253716187500686,1.2738402335460703,2867.406951969513
bunet,20260732,74,8384660,101003346,0.374740032060278,222351872,5569560576,10344038400,20688076800,1.2592055298929965,1.2572642710001674,1.2805030438546965,2858.9455132919543
bunet,20260733,74,8384660,101003282,0.3802360233566691,222345728,5569626112,10344038400,20688076800,1.2589209205683358,1.2575218959973427,1.2842819932004201,2859.5918466227345
unet_res,20260729,74,4450452,53764947,0.37786142696777664,89230336,5628346368,9459302400,18918604800,1.1936727826478828,1.1909901459948742,1.220844978839159,3015.9018889701456
unet_res,20260730,74,4450452,53765011,0.3883620758219432,89230336,5624152064,9459302400,18918604800,1.191213614837309,1.187589333007054,1.2131281850983213,3022.127983729999
unet_res,20260731,74,4450452,53764947,0.3634706995716685,89230336,5628346368,9459302400,18918604800,1.1931381801084688,1.1935608124986175,1.2104219766501045,3017.253206726418
unet_res,20260732,74,4450452,53765011,0.40065535481472275,88489216,5569626112,9459302400,18918604800,1.1889242983644992,1.1845880210021278,1.2105721646003076,3027.947199794142
unet_res,20260733,74,4450452,53764947,0.4090940073844427,88489216,5569626112,9459302400,18918604800,1.1916585017034604,1.1880582710000454,1.218153860746679,3020.999720015295
