name,base_channels,depth,parameter_count,macs_per_slice,flops_per_slice,receptive_field_proxy_pixels,largest_single_activation_bytes,input_shape,output_shape,parameter_relative_difference_to_res,mac_relative_difference_to_res
plain_unet_w4_d2,4,2,7600,95846400,191692800,47,921600,1x4x240x240,1x4x240x240,0.9982923082868886,0.9898674980514419
plain_unet_w5_d2,5,2,11769,146880000,293760000,47,1152000,1x4x240x240,1x4x240x240,0.9973555495037358,0.9844724279033515
plain_unet_w6_d2,6,2,16846,208742400,417484800,47,1382400,1x4x240x240,1x4x240x240,0.9962147665001218,0.9779325798908808
plain_unet_w7_d2,7,2,22831,281433600,562867200,47,1612800,1x4x240x240,1x4x240x240,0.9948699592760466,0.9702479540140296
plain_unet_w8_d2,8,2,29724,364953600,729907200,47,1843200,1x4x240x240,1x4x240x240,0.9933211278315102,0.9614185502727981
plain_unet_w9_d2,9,2,37525,459302400,918604800,47,2073600,1x4x240x240,1x4x240x240,0.9915682721665126,0.9514443686671863
plain_unet_w10_d2,10,2,46234,564480000,1128960000,47,2304000,1x4x240x240,1x4x240x240,0.9896113922810537,0.9403254091971941
plain_unet_w11_d2,11,2,55851,680486400,1360972800,47,2534400,1x4x240x240,1x4x240x240,0.9874504881751337,0.9280616718628215
plain_unet_w12_d2,12,2,66376,807321600,1614643200,47,2764800,1x4x240x240,1x4x240x240,0.9850855598487525,0.9146531566640685
plain_unet_w13_d2,13,2,77809,944985600,1889971200,47,2995200,1x4x240x240,1x4x240x240,0.98251660730191,0.9000998636009353
plain_unet_w14_d2,14,2,90150,1093478400,2186956800,47,3225600,1x4x240x240,1x4x240x240,0.9797436305346063,0.8844017926734217
plain_unet_w15_d2,15,2,103399,1252800000,2505600000,47,3456000,1x4x240x240,1x4x240x240,0.9767666295468416,0.8675589438815277
plain_unet_w16_d2,16,2,117556,1422950400,2845900800,47,3686400,1x4x240x240,1x4x240x240,0.9735856043386155,0.8495713172252534
plain_unet_w17_d2,17,2,132621,1603929600,3207859200,47,3916800,1x4x240x240,1x4x240x240,0.9702005549099283,0.8304389127045986
plain_unet_w18_d2,18,2,148594,1795737600,3591475200,47,4147200,1x4x240x240,1x4x240x240,0.9666114812607798,0.8101617303195635
plain_unet_w19_d2,19,2,165475,1998374400,3996748800,47,4377600,1x4x240x240,1x4x240x240,0.9628183833911702,0.7887397700701481
plain_unet_w20_d2,20,2,183264,2211840000,4423680000,47,4608000,1x4x240x240,1x4x240x240,0.9588212613010993,0.7661730319563523
plain_unet_w21_d2,21,2,201961,2436134400,4872268800,47,4838400,1x4x240x240,1x4x240x240,0.9546201149905672,0.7424615159781761
plain_unet_w22_d2,22,2,221566,2671257600,5342515200,47,5068800,1x4x240x240,1x4x240x240,0.950214944459574,0.7176052221356196
plain_unet_w23_d2,23,2,242079,2917209600,5834419200,47,5299200,1x4x240x240,1x4x240x240,0.9456057497081195,0.6916041504286827
plain_unet_w24_d2,24,2,263500,3173990400,6347980800,47,5529600,1x4x240x240,1x4x240x240,0.9407925307362038,0.6644583008573656
plain_unet_w25_d2,25,2,285829,3441600000,6883200000,47,5760000,1x4x240x240,1x4x240x240,0.935775287543827,0.6361676734216679
plain_unet_w26_d2,26,2,309066,3720038400,7440076800,47,5990400,1x4x240x240,1x4x240x240,0.930554020130989,0.60673226812159
plain_unet_w27_d2,27,2,333211,4009305600,8018611200,47,6220800,1x4x240x240,1x4x240x240,0.9251287284976897,0.5761520849571318
plain_unet_w28_d2,28,2,358264,4309401600,8618803200,47,6451200,1x4x240x240,1x4x240x240,0.9194994126439292,0.5444271239282931
plain_unet_w29_d2,29,2,384225,4620326400,9240652800,47,6681600,1x4x240x240,1x4x240x240,0.9136660725697076,0.5115573850350741
plain_unet_w30_d2,30,2,411094,4942080000,9884160000,47,6912000,1x4x240x240,1x4x240x240,0.9076287082750246,0.47754286827747466
plain_unet_w31_d2,31,2,438871,5274662400,10549324800,47,7142400,1x4x240x240,1x4x240x240,0.9013873197598806,0.4423835736554949
plain_unet_w32_d2,32,2,467556,5618073600,11236147200,47,7372800,1x4x240x240,1x4x240x240,0.8949419070242753,0.4060795011691348
plain_unet_w33_d2,33,2,497149,5972313600,11944627200,47,7603200,1x4x240x240,1x4x240x240,0.8882924700682088,0.3686306508183944
plain_unet_w34_d2,34,2,527650,6337382400,12674764800,47,7833600,1x4x240x240,1x4x240x240,0.8814390088916811,0.33003702260327356
plain_unet_w35_d2,35,2,559059,6713280000,13426560000,47,8064000,1x4x240x240,1x4x240x240,0.8743815234946922,0.2902986165237724
plain_unet_w36_d2,36,2,591376,7100006400,14200012800,47,8294400,1x4x240x240,1x4x240x240,0.8671200138772421,0.24941543257989088
plain_unet_w37_d2,37,2,624601,7497561600,14995123200,47,8524800,1x4x240x240,1x4x240x240,0.8596544800393309,0.207387470771629
plain_unet_w38_d2,38,2,658734,7905945600,15811891200,47,8755200,1x4x240x240,1x4x240x240,0.8519849219809583,0.16421473109898674
plain_unet_w39_d2,39,2,693775,8325158400,16650316800,47,8985600,1x4x240x240,1x4x240x240,0.8441113397021246,0.11989721356196414
plain_unet_w40_d2,40,2,729724,8755200000,17510400000,47,9216000,1x4x240x240,1x4x240x240,0.8360337332028297,0.07443491816056118
plain_unet_w41_d2,41,2,766581,9196070400,18392140800,47,9446400,1x4x240x240,1x4x240x240,0.8277521024830736,0.027827844894777864
plain_unet_w42_d2,42,2,804346,9647769600,19295539200,47,9676800,1x4x240x240,1x4x240x240,0.8192664475428563,0.019924006235385816
plain_unet_w43_d2,43,2,843019,10110297600,20220595200,47,9907200,1x4x240x240,1x4x240x240,0.8105767683821778,0.06882063522992986
plain_unet_w44_d2,44,2,882600,10583654400,21167308800,47,10137600,1x4x240x240,1x4x240x240,0.8016830650010381,0.11886204208885424
plain_unet_w45_d2,45,2,923089,11067840000,22135680000,47,10368000,1x4x240x240,1x4x240x240,0.7925853373994372,0.170048226812159
plain_unet_w46_d2,46,2,964486,11562854400,23125708800,47,10598400,1x4x240x240,1x4x240x240,0.7832835855773751,0.2223791893998441
plain_unet_w47_d2,47,2,1006791,12068697600,24137395200,47,10828800,1x4x240x240,1x4x240x240,0.7737778095348518,0.27585492985190957
plain_unet_w48_d2,48,2,1050004,12585369600,25170739200,47,11059200,1x4x240x240,1x4x240x240,0.7640680092718672,0.3304754481683554
plain_unet_w49_d2,49,2,1094125,13112870400,26225740800,47,11289600,1x4x240x240,1x4x240x240,0.7541541847884214,0.3862407443491816
plain_unet_w50_d2,50,2,1139154,13651200000,27302400000,47,11520000,1x4x240x240,1x4x240x240,0.7440363360845146,0.44315081839438814
plain_unet_w51_d2,51,2,1185091,14200358400,28400716800,47,11750400,1x4x240x240,1x4x240x240,0.7337144631601464,0.501205670303975
plain_unet_w52_d2,52,2,1231936,14760345600,29520691200,47,11980800,1x4x240x240,1x4x240x240,0.7231885660153171,0.5604053000779423
plain_unet_w53_d2,53,2,1279689,15331161600,30662323200,47,12211200,1x4x240x240,1x4x240x240,0.7124586446500265,0.6207497077162899
plain_unet_w54_d2,54,2,1328350,15912806400,31825612800,47,12441600,1x4x240x240,1x4x240x240,0.7015246990642748,0.6822388932190179
plain_unet_w55_d2,55,2,1377919,16505280000,33010560000,47,12672000,1x4x240x240,1x4x240x240,0.6903867292580619,0.7448728565861262
plain_unet_w56_d2,56,2,1428396,17108582400,34217164800,47,12902400,1x4x240x240,1x4x240x240,0.6790447352313878,0.808651597817615
plain_unet_w57_d2,57,2,1479781,17722713600,35445427200,47,13132800,1x4x240x240,1x4x240x240,0.6674987169842523,0.873575116913484
plain_unet_w58_d2,58,2,1532074,18347673600,36695347200,47,13363200,1x4x240x240,1x4x240x240,0.6557486745166559,0.9396434138737334
plain_unet_w59_d2,59,2,1585275,18983462400,37966924800,47,13593600,1x4x240x240,1x4x240x240,0.6437946078285981,1.0068564886983633
plain_unet_w60_d2,60,2,1639384,19630080000,39260160000,47,13824000,1x4x240x240,1x4x240x240,0.6316365169200792,1.0752143413873734
plain_unet_w61_d2,61,2,1694401,20287526400,40575052800,47,14054400,1x4x240x240,1x4x240x240,0.6192744017910989,1.144716971940764
