split,feature,category,count,prevalence,global_prevalence,absolute_deviation
train,grade,HGG,204,0.7906976744186046,0.7940379403794038,0.0033402659607991714
train,grade,LGG,54,0.20930232558139536,0.20596205962059622,0.0033402659607991436
validation,grade,HGG,30,0.8108108108108109,0.7940379403794038,0.016772870431407072
validation,grade,LGG,7,0.1891891891891892,0.20596205962059622,0.016772870431407017
test,grade,HGG,59,0.7972972972972973,0.7940379403794038,0.0032593569178934745
test,grade,LGG,15,0.20270270270270271,0.20596205962059622,0.0032593569178935022
train,et_present,False,19,0.07364341085271318,0.07317073170731707,0.00047267914539611544
train,et_present,True,239,0.9263565891472868,0.926829268292683,0.00047267914539617095
validation,et_present,False,3,0.08108108108108109,0.07317073170731707,0.007910349373764017
validation,et_present,True,34,0.918918918918919,0.926829268292683,0.007910349373764003
test,et_present,False,5,0.06756756756756757,0.07317073170731707,0.0056031641397494975
test,et_present,True,69,0.9324324324324325,0.926829268292683,0.005603164139749484
train,wt_volume_quartile,Q1,66,0.2558139534883721,0.25203252032520324,0.003781433163168868
train,wt_volume_quartile,Q2,63,0.2441860465116279,0.24932249322493225,0.005136446713304349
train,wt_volume_quartile,Q3,65,0.25193798449612403,0.24932249322493225,0.002615491271191789
train,wt_volume_quartile,Q4,64,0.24806201550387597,0.24932249322493225,0.00126047772105628
validation,wt_volume_quartile,Q1,9,0.24324324324324326,0.25203252032520324,0.008789277081959979
validation,wt_volume_quartile,Q2,10,0.2702702702702703,0.24932249322493225,0.02094777704533804
validation,wt_volume_quartile,Q3,8,0.21621621621621623,0.24932249322493225,0.03310627700871602
validation,wt_volume_quartile,Q4,10,0.2702702702702703,0.24932249322493225,0.02094777704533804
test,wt_volume_quartile,Q1,18,0.24324324324324326,0.25203252032520324,0.008789277081959979
test,wt_volume_quartile,Q2,19,0.25675675675675674,0.24932249322493225,0.007434263531824498
test,wt_volume_quartile,Q3,19,0.25675675675675674,0.24932249322493225,0.007434263531824498
test,wt_volume_quartile,Q4,18,0.24324324324324326,0.24932249322493225,0.006079249981688989
train,tc_volume_quartile,Q1,67,0.2596899224806202,0.25203252032520324,0.007657402155416937
train,tc_volume_quartile,Q2,61,0.2364341085271318,0.24932249322493225,0.012888384697800459
train,tc_volume_quartile,Q3,65,0.25193798449612403,0.24932249322493225,0.002615491271191789
train,tc_volume_quartile,Q4,65,0.25193798449612403,0.24932249322493225,0.002615491271191789
validation,tc_volume_quartile,Q1,9,0.24324324324324326,0.25203252032520324,0.008789277081959979
validation,tc_volume_quartile,Q2,10,0.2702702702702703,0.24932249322493225,0.02094777704533804
validation,tc_volume_quartile,Q3,9,0.24324324324324326,0.24932249322493225,0.006079249981688989
validation,tc_volume_quartile,Q4,9,0.24324324324324326,0.24932249322493225,0.006079249981688989
test,tc_volume_quartile,Q1,17,0.22972972972972974,0.25203252032520324,0.022302790595473493
test,tc_volume_quartile,Q2,21,0.28378378378378377,0.24932249322493225,0.034461290558851526
test,tc_volume_quartile,Q3,18,0.24324324324324326,0.24932249322493225,0.006079249981688989
test,tc_volume_quartile,Q4,18,0.24324324324324326,0.24932249322493225,0.006079249981688989
train,et_volume_quartile,Q1,61,0.2364341085271318,0.23306233062330622,0.0033717779038255624
train,et_volume_quartile,Q2,56,0.21705426356589147,0.23035230352303523,0.013298039957143765
train,et_volume_quartile,Q3,57,0.22093023255813954,0.23035230352303523,0.009422070964895696
train,et_volume_quartile,Q4,65,0.25193798449612403,0.23306233062330622,0.01887565387281781
train,et_volume_quartile,absent,19,0.07364341085271318,0.07317073170731707,0.00047267914539611544
validation,et_volume_quartile,Q1,8,0.21621621621621623,0.23306233062330622,0.016846114407089996
validation,et_volume_quartile,Q2,10,0.2702702702702703,0.23035230352303523,0.03991796674723505
validation,et_volume_quartile,Q3,9,0.24324324324324326,0.23035230352303523,0.012890939720208022
validation,et_volume_quartile,Q4,7,0.1891891891891892,0.23306233062330622,0.043873141434117024
validation,et_volume_quartile,absent,3,0.08108108108108109,0.07317073170731707,0.007910349373764017
test,et_volume_quartile,Q1,17,0.22972972972972974,0.23306233062330622,0.0033326008935764817
test,et_volume_quartile,Q2,19,0.25675675675675674,0.23035230352303523,0.02640445323372151
test,et_volume_quartile,Q3,19,0.25675675675675674,0.23035230352303523,0.02640445323372151
test,et_volume_quartile,Q4,14,0.1891891891891892,0.23306233062330622,0.043873141434117024
test,et_volume_quartile,absent,5,0.06756756756756757,0.07317073170731707,0.0056031641397494975
