Model,Endpoint,Finite n,NaN n,Infinity n,Finite mean,Finite median
BU-Net,wt_hd95_mm,74,0,0,35.82286123964096,33.87292033807991
BU-Net,tc_hd95_mm,73,0,1,22.000004592341913,15.229433752404876
BU-Net,et_hd95_mm,69,0,5,16.825013781801363,7.73433777784444
BU-Net,wt_surface_dice,74,0,0,0.621228294171607,0.6404290090214758
BU-Net,tc_surface_dice,74,0,0,0.5861807178104954,0.6546520127148243
BU-Net,et_surface_dice,74,0,0,0.7438600980085487,0.835660696139217
BU-Net,et_lesion_recall,69,5,0,0.4752750095409941,0.3333333333333333
BU-Net,et_lesion_wise_dice,69,5,0,0.367488078684579,0.2220893662122527
Standard U-Net,wt_hd95_mm,74,0,0,21.926154680775173,14.007984557291868
Standard U-Net,tc_hd95_mm,71,0,3,17.417610111856657,10.820934507496068
Standard U-Net,et_hd95_mm,70,0,4,14.803652558120838,6.0095995392009325
Standard U-Net,wt_surface_dice,74,0,0,0.6054615766340806,0.6267893034732244
Standard U-Net,tc_surface_dice,74,0,0,0.577427230087093,0.6690281728540295
Standard U-Net,et_surface_dice,74,0,0,0.7336725891352893,0.833921008190233
Standard U-Net,et_lesion_recall,69,5,0,0.4700150652921326,0.3333333333333333
Standard U-Net,et_lesion_wise_dice,69,5,0,0.3562087756585635,0.2155629961992001
U-Net + RES,wt_hd95_mm,74,0,0,31.865003506141477,25.05472420532478
U-Net + RES,tc_hd95_mm,72,0,2,21.040603757109565,15.060235692555947
U-Net + RES,et_hd95_mm,69,0,5,16.92449604121474,10.2706724856036
U-Net + RES,wt_surface_dice,74,0,0,0.6373813857188283,0.6636547894079421
U-Net + RES,tc_surface_dice,74,0,0,0.5948647286143032,0.671297214120137
U-Net + RES,et_surface_dice,74,0,0,0.747550435435217,0.8446686448492349
U-Net + RES,et_lesion_recall,69,5,0,0.4764814365325874,0.3333333333333333
U-Net + RES,et_lesion_wise_dice,69,5,0,0.370429128109837,0.2311854734408351
