Subgroup,Category,Model,Patients,Status,Mean Dice,CI lower,CI upper
grade,HGG,BU-Net,59,exploratory,0.8077569117821525,0.7820866772115799,0.83134025882027
grade,HGG,Standard U-Net,59,exploratory,0.806453890769997,0.7783851714343784,0.8319635389803713
grade,HGG,U-Net + RES,59,exploratory,0.8117785067751305,0.7877869026210487,0.8345763269922227
grade,LGG,BU-Net,15,exploratory,0.5339490880225898,0.4585886243800336,0.6081844152409228
grade,LGG,Standard U-Net,15,exploratory,0.4565597074898256,0.3671113440289292,0.54610592321767
grade,LGG,U-Net + RES,15,exploratory,0.5365376010562549,0.4603605703777625,0.611436653438335
enhancing_tumor_reference,present,BU-Net,69,exploratory,0.7727050043897405,0.7384880094173464,0.8034846933301415
enhancing_tumor_reference,present,Standard U-Net,69,exploratory,0.7585715619096242,0.715837826275903,0.7957934426838874
enhancing_tumor_reference,present,U-Net + RES,69,exploratory,0.7760061411077954,0.7430485701872758,0.8061403796160864
enhancing_tumor_reference,absent,BU-Net,5,descriptive_insufficient_n,0.4700497625187476,0.369952086350825,0.5664244544399293
enhancing_tumor_reference,absent,Standard U-Net,5,descriptive_insufficient_n,0.4175474792026277,0.3123799886787405,0.5213540862505546
enhancing_tumor_reference,absent,U-Net + RES,5,descriptive_insufficient_n,0.4797144358277276,0.3730326596497033,0.586396212005752
whole_tumor_burden,small,BU-Net,24,exploratory,0.7354557074765636,0.6696806697434357,0.7913858992284826
whole_tumor_burden,small,Standard U-Net,24,exploratory,0.7133519164517249,0.6298613705583003,0.7837304927661559
whole_tumor_burden,small,U-Net + RES,24,exploratory,0.7461158028917548,0.6799328493850547,0.7980652659538072
whole_tumor_burden,medium,BU-Net,24,exploratory,0.7707584896970743,0.7059836833049585,0.8266608482561594
whole_tumor_burden,medium,Standard U-Net,24,exploratory,0.7696746444005201,0.7004096345227541,0.8280012379163911
whole_tumor_burden,medium,U-Net + RES,24,exploratory,0.7721545483546896,0.7054039215125283,0.8318500973905013
whole_tumor_burden,large,BU-Net,26,exploratory,0.750682822435328,0.6866314609833681,0.8071346438701501
whole_tumor_burden,large,Standard U-Net,26,exploratory,0.7244822195124361,0.6456925687531162,0.7962870642118398
whole_tumor_burden,large,U-Net + RES,26,exploratory,0.7501733648331486,0.6885300470992459,0.8077030019609052
